Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
425511.SK_080_8_Y_N1_1881_0395.PDF,ProStream02,1687,19400,485,2024-04-01 08:00:00,2024-04-01 08:55:00,55.0
423713.SK_076_8_Y_N1_1881_0230.PDF,ProStream02,1688,11780,310,2024-04-01 08:52:00,2024-04-01 09:18:00,26.0
419654.SK_128_8_Y_N1_1881_0235.PDF,ProStream02,1689,20160,315,2024-04-01 09:15:00,2024-04-01 09:59:00,44.0
410770.SK_064_8_Y_N1_1881_0235.PDF,ProStream02,1691,10080,315,2024-04-01 09:56:00,2024-04-01 10:19:00,23.0
428513.SK_052_8_Y_N1_1881_0555.PDF,ProStream02,1692,16770,645,2024-04-01 10:29:00,2024-04-01 11:06:00,37.0
414372.SK_080_8_Y_N1_1881_0220.PDF,ProStream02,1693,12000,300,2024-04-01 11:03:00,2024-04-01 11:30:00,27.0
427855.SK_100_8_Y_N1_1881_0265.PDF,ProStream02,1694,16750,335,2024-04-01 11:27:00,2024-04-01 12:34:00,67.0
421992.SK_056_8_Y_N1_1881_0320.PDF,ProStream02,1695,11480,410,2024-04-01 12:31:00,2024-04-01 12:57:00,26.0
403035.SK_088_8_N_N1_1881_0708.PDF,ProStream02,1696,35992,818,2024-04-01 12:54:00,2024-04-01 14:09:00,75.0
425756.SK_096_8_Y_N1_1881_0395.PDF,ProStream02,1697,23280,485,2024-04-01 14:19:00,2024-04-01 15:25:00,66.0
423434.SK_064_8_Y_N1_1881_0385.PDF,ProStream02,1698,15200,475,2024-04-01 15:22:00,2024-04-01 15:56:00,34.0
415180.SK_060_8_Y_N1_1881_0345.PDF,ProStream02,1699,13050,435,2024-04-01 15:53:00,2024-04-01 16:22:00,29.0
428379.SK_068_8_Y_N1_1881_0420.PDF,ProStream02,1700,17340,510,2024-04-01 16:19:00,2024-04-01 16:56:00,37.0
426929.SK_080_8_Y_N1_1881_0345.PDF,ProStream02,1701,17400,435,2024-04-01 16:54:00,2024-04-01 17:31:00,37.0
429981.SK_072_8_Y_N2_1881_0160.PDF,ProStream02,1702,8640,240,2024-04-01 17:38:00,2024-04-01 17:59:00,21.0
420707.SK_072_8_Y_N2_1881_0135.PDF,ProStream02,1703,7740,215,2024-04-01 17:56:00,2024-04-01 18:32:00,36.0
429439_SK_368_9_N_N1_2012_1265.PDF,ProStream01,1685,267720,1455,2024-04-01 18:06:00,2024-04-01 21:45:00,219.0
429823.SK_060_8_Y_N2_1881_0160.PDF,ProStream02,1704,7200,240,2024-04-01 18:29:00,2024-04-01 18:46:00,17.0
421819.SK_048_8_Y_N2_1881_0195.PDF,ProStream02,1705,6600,275,2024-04-01 18:43:00,2024-04-01 19:00:00,17.0
417605.SK_048_8_Y_N2_1881_0235.PDF,ProStream02,1706,7560,315,2024-04-01 18:57:00,2024-04-01 19:15:00,18.0
404051.SK_072_8_Y_N2_1881_0155.PDF,ProStream02,1707,8460,235,2024-04-01 19:12:00,2024-04-01 19:32:00,20.0
429398.SK_036_8_Y_N2_1881_0185.PDF,ProStream02,1708,4770,265,2024-04-01 19:29:00,2024-04-01 19:41:00,12.0
428847.SK_060_8_Y_N2_1881_0135.PDF,ProStream02,1709,6450,215,2024-04-01 19:38:00,2024-04-01 19:54:00,16.0
423666.SK_080_8_Y_N2_1881_0105.PDF,ProStream02,1710,7400,185,2024-04-01 19:51:00,2024-04-01 20:09:00,18.0
421873.SK_056_8_Y_N2_1881_0125.PDF,ProStream02,1711,5740,205,2024-04-01 20:06:00,2024-04-01 20:21:00,15.0
419688.SK_056_8_Y_N2_1881_0135.PDF,ProStream02,1712,6020,215,2024-04-01 20:18:00,2024-04-01 20:33:00,15.0
